承储企业,年份,级别,省份,品种名称,作物种类,储备量（万公斤）
四川国豪种业股份有限公司,2017,国家级,四川,冈优725,杂交水稻,10
四川国豪种业股份有限公司,2017,国家级,四川,蓉18优662,杂交水稻,10
四川华丰种业有限责任公司,2017,国家级,四川,川优6203,杂交水稻,25
四川华丰种业有限责任公司,2017,国家级,四川,川香优2号,杂交水稻,25
四川华丰种业有限责任公司,2017,国家级,四川,冈优99,杂交水稻,15
四川华丰种业有限责任公司,2017,国家级,四川,川106A,水稻亲本,3
四川华丰种业有限责任公司,2017,国家级,四川,川香29A,水稻亲本,2
四川华丰种业有限责任公司,2017,国家级,四川,蜀丰6608,油菜,5
四川同路农业科技有限责任公司,2017,国家级,四川,金玉509,杂交玉米,12
四川同路农业科技有限责任公司,2017,国家级,四川,同玉11,杂交玉米,10
四川同路农业科技有限责任公司,2017,国家级,四川,同玉18,杂交玉米,15
四川同路农业科技有限责任公司,2017,国家级,四川,德新油49,油菜,5
四川同路农业科技有限责任公司,2017,国家级,四川,德新油59,油菜,5
四川同路农业科技有限责任公司,2017,国家级,四川,泸糯12号,杂粮杂豆,3
仲衍种业股份有限公司,2017,国家级,四川,天优8012,杂交水稻,25
仲衍种业股份有限公司,2017,国家级,四川,冈优900,杂交水稻,10
仲衍种业股份有限公司,2017,国家级,四川,川优6203,杂交水稻,10
仲衍种业股份有限公司,2017,国家级,四川,川香优506,杂交水稻,5
仲衍种业股份有限公司,2017,国家级,四川,冈46A,水稻亲本,2.5
仲衍种业股份有限公司,2017,国家级,四川,蓉18A,水稻亲本,5
仲衍种业股份有限公司,2017,国家级,四川,协青早A,水稻亲本,0.5
仲衍种业股份有限公司,2017,国家级,四川,中9A,水稻亲本,0.5
仲衍种业股份有限公司,2017,国家级,四川,辐74A,水稻亲本,1
仲衍种业股份有限公司,2017,国家级,四川,川106A,水稻亲本,0.5
仲衍种业股份有限公司,2017,国家级,四川,蜀龙13,杂交玉米,15
仲衍种业股份有限公司,2017,国家级,四川,珍禾玉1号,杂交玉米,5
仲衍种业股份有限公司,2017,国家级,四川,蓉油18,油菜,2
仲衍种业股份有限公司,2017,国家级,四川,德仲油1号,油菜,1
仲衍种业股份有限公司,2017,国家级,四川,蓉油16,油菜,1
仲衍种业股份有限公司,2017,国家级,四川,蓉油15,油菜,1
仲衍种业股份有限公司,2017,国家级,四川,意大利蚕豆,杂粮杂豆,1
仲衍种业股份有限公司,2017,国家级,四川,丰优无须豌豆,杂粮杂豆,4
天津中天大地科技有限公司,2017,国家级,天津,天塔五号,杂交玉米,17
天津中天大地科技有限公司,2017,国家级,天津,津北288,杂交玉米,12
天津中天大地科技有限公司,2017,国家级,天津,天塔一号,杂交玉米,6
天津中天大地科技有限公司,2017,国家级,天津,津原45,常规水稻,5
天津中天大地科技有限公司,2017,国家级,天津,津原E28,常规水稻,22
天津中天大地科技有限公司,2017,国家级,天津,津原47,常规水稻,12
天津中天大地科技有限公司,2017,国家级,天津,津原11,常规水稻,11
新疆华西种业有限公司,2017,国家级,新疆,新玉59号,杂交玉米,50
新疆金丰源种业股份有限公司,2017,国家级,新疆,新陆早66号,棉花,50
新疆天玉种业有限责任公司,2017,国家级,新疆,新玉42号,杂交玉米,20
新疆盛源种业有限责任公司,2017,国家级,新疆兵团,新引KX3564,杂交玉米,30
新疆盛源种业有限责任公司,2017,国家级,新疆兵团,新陆早45号,棉花,50
新疆盛源种业有限责任公司,2017,国家级,新疆兵团,新陆早62号,棉花,40
宣威市种子公司,2017,国家级,云南,宣黄单4号,杂交玉米,50
云南大天种业有限公司,2017,国家级,云南,大天1号,杂交玉米,50
云南禾朴农业科技有限公司,2017,国家级,云南,滇禾优34,杂交水稻,15
云南禾朴农业科技有限公司,2017,国家级,云南,滇杂35,杂交水稻,5
云南田瑞种业有限公司,2017,国家级,云南,云瑞88,杂交玉米,30
云南田瑞种业有限公司,2017,国家级,云南,云瑞999,杂交玉米,10
嘉兴市登丰种业有限公司,2017,国家级,浙江,秀水519,常规水稻,10
嘉兴市登丰种业有限公司,2017,国家级,浙江,秀水134,常规水稻,15
浙江勿忘农种业股份有限公司,2017,国家级,浙江,中早39,常规水稻,40
浙江勿忘农种业股份有限公司,2017,国家级,浙江,秀水519,常规水稻,15
浙江勿忘农种业股份有限公司,2017,国家级,浙江,中浙优10号,杂交水稻,15
浙江勿忘农种业股份有限公司,2017,国家级,浙江,中浙优8号,杂交水稻,40
浙江勿忘农种业股份有限公司,2017,国家级,浙江,中浙优1号,杂交水稻,25
中国种子集团有限公司,2017,国家级,中种集团,盛泰优722,杂交水稻,15
中国种子集团有限公司,2017,国家级,中种集团,盛泰优018,杂交水稻,5
中国种子集团有限公司,2017,国家级,中种集团,宜香107,杂交水稻,5
中国种子集团有限公司,2017,国家级,中种集团,内5优5399,杂交水稻,5
中国种子集团有限公司,2017,国家级,中种集团,德香4103,杂交水稻,6
中国种子集团有限公司,2017,国家级,中种集团,德优4727,杂交水稻,4
中国种子集团有限公司,2017,国家级,中种集团,深优9734,杂交水稻,5
中国种子集团有限公司,2017,国家级,中种集团,内5优39,杂交水稻,8
中国种子集团有限公司,2017,国家级,中种集团,宜香4245,杂交水稻,8
中国种子集团有限公司,2017,国家级,中种集团,五优308,杂交水稻,5
中国种子集团有限公司,2017,国家级,中种集团,五丰优615,杂交水稻,5
中国种子集团有限公司,2017,国家级,中种集团,天优2168,杂交水稻,5
中国种子集团有限公司,2017,国家级,中种集团,天优3618,杂交水稻,5
中国种子集团有限公司,2017,国家级,中种集团,广两优16,杂交水稻,4
中国种子集团有限公司,2017,国家级,中种集团,两优3313,杂交水稻,4
中国种子集团有限公司,2017,国家级,中种集团,岳优617,杂交水稻,5
中国种子集团有限公司,2017,国家级,中种集团,博II优767,杂交水稻,2
中国种子集团有限公司,2017,国家级,中种集团,博II优629,杂交水稻,1
中国种子集团有限公司,2017,国家级,中种集团,红泰优996,杂交水稻,1
中国种子集团有限公司,2017,国家级,中种集团,福龙两优29,杂交水稻,1
中国种子集团有限公司,2017,国家级,中种集团,II优629,杂交水稻,1
中国种子集团有限公司,2017,国家级,中种集团,郑单958,杂交玉米,90
中国种子集团有限公司,2017,国家级,中种集团,郑58,玉米亲本,16.1
中国种子集团有限公司,2017,国家级,中种集团,昌7-2,玉米亲本,3.9
重庆帮豪种业股份有限公司,2017,国家级,重庆,繁优709,杂交水稻,10
重庆帮豪种业股份有限公司,2017,国家级,重庆,万优481,杂交水稻,10
重庆帮豪种业股份有限公司,2017,国家级,重庆,帮豪玉108,杂交玉米,15
重庆帮豪种业股份有限公司,2017,国家级,重庆,华凯2号,杂交玉米,5
重庆中一种业有限公司,2017,国家级,重庆,Q优1号,杂交水稻,10
重庆中一种业有限公司,2017,国家级,重庆,Q优6号,杂交水稻,20
重庆中一种业有限公司,2017,国家级,重庆,Q优8号,杂交水稻,20
重庆中一种业有限公司,2017,国家级,重庆,Q优28,杂交水稻,10
,,,,,,
安徽国豪农业科技有限公司,2018,国家级,安徽,晚粳22,常规水稻,20
安徽国豪农业科技有限公司,2018,国家级,安徽,徽豪油5号,油菜,20
安徽荃银高科种业股份有限公司,2018,国家级,安徽,徽两优898,杂交水稻,40
